,Title,Link,Location,Price,Image,Brand,Year,Distance Covered
47,Hyundai Verna,https://www.olx.in/item/cars-c84-used-hyundai-verna-in-tilak-nagar-delhi-iid-1815343061,Tilak Nagar,715000,https://apollo.olx.in:443/v1/files/hz4vzqxtmkbt2-IN/image;s=150x0;q=50;f=webp;,hyundai,2018,64000.0
48,Hyundai Verna,https://www.olx.in/item/cars-c84-used-hyundai-verna-in-karol-bagh-delhi-iid-1815724189,Karol Bagh,710000,https://apollo.olx.in:443/v1/files/dr26wmxa174o-IN/image;s=150x0;q=50;f=webp;,hyundai,2018,65000.0
49,Hyundai i20 N Line,https://www.olx.in/item/cars-c84-used-hyundai-i20-n-line-in-manik-nagar-guwahati-iid-1817763597,Manik Nagar,750000,https://apollo.olx.in:443/v1/files/4hdzz3apuruo1-IN/image;s=150x0;q=50;f=webp;,hyundai,2022,32000.0
50,Hyundai Eon,https://www.olx.in/item/cars-c84-used-hyundai-eon-in-mali-panchghara-howrah-iid-1816882379,Mali Panchghara,175000,https://apollo.olx.in:443/v1/files/8g9e9rokw0lu3-IN/image;s=150x0;q=50;f=webp;,hyundai,2012,39000.0
51,Hyundai Eon,https://www.olx.in/item/cars-c84-used-hyundai-eon-in-howrah-ac-market-howrah-iid-1816882522,Howrah AC Market,175000,https://apollo.olx.in:443/v1/files/v4yzetm3r3ji2-IN/image;s=150x0;q=50;f=webp;,hyundai,2012,39000.0
52,Hyundai Eon,https://www.olx.in/item/cars-c84-used-hyundai-eon-in-shibpur-howrah-iid-1816882732,Shibpur,175000,https://apollo.olx.in:443/v1/files/muzebvfov5dv3-IN/image;s=150x0;q=50;f=webp;,hyundai,2012,39000.0
53,Hyundai Eon,https://www.olx.in/item/cars-c84-used-hyundai-eon-in-domjur-howrah-iid-1816882979,Domjur,175000,https://apollo.olx.in:443/v1/files/3gwjo0inrnb7-IN/image;s=150x0;q=50;f=webp;,hyundai,2012,39000.0
54,Hyundai Grand i10 Nios,https://www.olx.in/item/cars-c84-used-hyundai-grand-i10-nios-in-bishnupur-moranhat-iid-1818083211,Bishnupur,512999,https://apollo.olx.in:443/v1/files/u6x9h62eoi0u2-IN/image;s=150x0;q=50;f=webp;,hyundai,2020,22000.0
55,Hyundai Santro Xing,https://www.olx.in/item/cars-c84-used-hyundai-santro-xing-in-mali-panchghara-howrah-iid-1817009527,Mali Panchghara,145000,https://apollo.olx.in:443/v1/files/3slwj9uppjss3-IN/image;s=150x0;q=50;f=webp;,hyundai,2012,38000.0
56,Hyundai Verna,https://www.olx.in/item/cars-c84-used-hyundai-verna-in-royapettah-chennai-iid-1818083212,Royapettah,1289999,https://apollo.olx.in:443/v1/files/dt32dnyb41ma-IN/image;s=150x0;q=50;f=webp;,hyundai,2021,28000.0
57,Hyundai i10,https://www.olx.in/item/cars-c84-used-hyundai-i10-in-omr-chennai-iid-1818083196,OMR,195000,https://apollo.olx.in:443/v1/files/psieef8ksl013-IN/image;s=150x0;q=50;f=webp;,hyundai,2008,68000.0
58,Hyundai Santro Xing,https://www.olx.in/item/cars-c84-used-hyundai-santro-xing-in-domjur-howrah-iid-1817009795,Domjur,149000,https://apollo.olx.in:443/v1/files/uvt043lw8u3p1-IN/image;s=150x0;q=50;f=webp;,hyundai,2012,38000.0
59,Hyundai Grand i10,https://www.olx.in/item/cars-c84-used-hyundai-grand-i10-in-mansarovar-jaipur-iid-1817543965,Mansarovar,491000,https://apollo.olx.in:443/v1/files/cs47mm07hq8m2-IN/image;s=150x0;q=50;f=webp;,hyundai,2019,68000.0
60,Hyundai Grand i10,https://www.olx.in/item/cars-c84-used-hyundai-grand-i10-in-kaikhali-kolkata-iid-1812489243,Kaikhali,390001,https://apollo.olx.in:443/v1/files/trkyyfuicvnd1-IN/image;s=150x0;q=50;f=webp;,hyundai,2019,55000.0
61,Hyundai Verna,https://www.olx.in/item/cars-c84-used-hyundai-verna-in-keteshwer-chowk-nagpur-iid-1816175920,Keteshwer Chowk,755000,https://apollo.olx.in:443/v1/files/6l1n6w5brmf1-IN/image;s=150x0;q=50;f=webp;,hyundai,2018,90228.0
