Title,Link,Location,Price,Information,Image,Brand
Hyundai i20,https://www.olx.in/item/cars-c84-used-hyundai-i20-in-nauroji-nagar-delhi-iid-1815347662,Nauroji NagarToday,"₹ 1,35,000","2012 - 112,000 km",https://apollo.olx.in:443/v1/files/nxwj95frfs63-IN/image;s=150x0;q=50;f=webp;,hyundai
Hyundai Xcent,https://www.olx.in/item/cars-c84-used-hyundai-xcent-in-byculla-mumbai-iid-1801850965,BycullaToday,"₹ 2,75,000","2015 - 49,000 km",https://apollo.olx.in:443/v1/files/frg695k3qvml1-IN/image;s=150x0;q=50;f=webp;,hyundai
Hyundai Creta,https://www.olx.in/item/cars-c84-used-hyundai-creta-in-mira-road-mumbai-iid-1816589674,Mira RoadToday,"₹ 8,51,000","2017 - 80,000 km",https://apollo.olx.in:443/v1/files/54xcdj810ahd3-IN/image;s=150x0;q=50;f=webp;,hyundai
Hyundai i10,https://www.olx.in/item/cars-c84-used-hyundai-i10-in-taliparamba-kerala-iid-1814373632,TaliparambaToday,"₹ 3,99,999","2018 - 52,000 km",https://apollo.olx.in:443/v1/files/uyjhyla8fvsb-IN/image;s=150x0;q=50;f=webp;,hyundai
Hyundai Venue,https://www.olx.in/item/cars-c84-used-hyundai-venue-in-amli-industrial-estate-silvassa-iid-1813664481,Amli Industrial Estate13 Aug,"₹ 8,99,999","2020 - 75,000 km",https://apollo.olx.in:443/v1/files/o48tlhn0yma9-IN/image;s=150x0;q=50;f=webp;,hyundai
Hyundai Creta,https://www.olx.in/item/cars-c84-used-hyundai-creta-in-manna-taliparamba-iid-1817478205,Manna5 days ago,"₹ 10,00,000","2018 - 99,000 km",https://apollo.olx.in:443/v1/files/31dnztfeh6th3-IN/image;s=150x0;q=50;f=webp;,hyundai
Hyundai Verna,https://www.olx.in/item/cars-c84-used-hyundai-verna-in-mavdi-rajkot-iid-1806845352,Mavdi4 Jun,"₹ 6,65,000","2017 - 87,993 km",https://apollo.olx.in:443/v1/files/7zzgxayhen1l1-IN/image;s=150x0;q=50;f=webp;,hyundai
Hyundai Verna,https://www.olx.in/item/cars-c84-used-hyundai-verna-in-karol-bagh-delhi-iid-1809487111,Karol BaghToday,"₹ 12,00,000","2021 - 45,000 km",https://apollo.olx.in:443/v1/files/1s6gg9h6j03t1-IN/image;s=150x0;q=50;f=webp;,hyundai
Hyundai i10,https://www.olx.in/item/cars-c84-used-hyundai-i10-in-chinnamal-nagar-coimbatore-iid-1815450450,Chinnamal NagarToday,"₹ 3,00,000","2012 - 114,438 km",https://apollo.olx.in:443/v1/files/x1ux7uat48441-IN/image;s=150x0;q=50;f=webp;,hyundai
Hyundai Eon,https://www.olx.in/item/cars-c84-used-hyundai-eon-in-chinnamal-nagar-coimbatore-iid-1815449839,Chinnamal NagarToday,"₹ 2,60,000","2012 - 65,000 km",https://apollo.olx.in:443/v1/files/tbcy97yvb45b-IN/image;s=150x0;q=50;f=webp;,hyundai
Hyundai Santro Xing,https://www.olx.in/item/cars-c84-used-hyundai-santro-xing-in-vadavalli-coimbatore-iid-1812457761,VadavalliToday,"₹ 2,25,000","2010 - 137,000 km",https://apollo.olx.in:443/v1/files/vdr3b9nu5l4v2-IN/image;s=150x0;q=50;f=webp;,hyundai
Hyundai Eon,https://www.olx.in/item/cars-c84-used-hyundai-eon-in-vadavalli-coimbatore-iid-1811684922,VadavalliToday,"₹ 2,50,000","2011 - 18,000 km",https://apollo.olx.in:443/v1/files/isil3eq7g5mg-IN/image;s=150x0;q=50;f=webp;,hyundai
Hyundai Fluidic Verna,https://www.olx.in/item/cars-c84-used-hyundai-fluidic-verna-in-vadavalli-coimbatore-iid-1811477553,VadavalliToday,"₹ 4,70,000","2021 - 143,000 km",https://apollo.olx.in:443/v1/files/ujwbyit4cfvi1-IN/image;s=150x0;q=50;f=webp;,hyundai
Hyundai Creta,https://www.olx.in/item/cars-c84-used-hyundai-creta-in-chinnamal-nagar-coimbatore-iid-1811278530,Chinnamal NagarToday,"₹ 11,95,000","2021 - 97,000 km",https://apollo.olx.in:443/v1/files/j59unyp9c3xx1-IN/image;s=150x0;q=50;f=webp;,hyundai
Hyundai Creta,https://www.olx.in/item/cars-c84-used-hyundai-creta-in-rajouri-garden-delhi-iid-1815991334,Rajouri GardenToday,"₹ 8,91,000","2018 - 81,000 km",https://apollo.olx.in:443/v1/files/jiegoahdxt7g3-IN/image;s=150x0;q=50;f=webp;,hyundai
